Report Date,BEAM,Bigelow Expandable Activity Module
2014-12-16,1,1
2015-02-25,1,1
2016-04-11,1,1
2016-04-13,1,1
2016-04-15,1,1
2016-04-18,1,1
2016-05-16,1,1
2016-05-17,1,0
2016-05-20,1,0
2016-05-23,1,0
2016-05-24,1,0
2016-05-25,1,0
2016-05-26,1,0
2016-05-30,1,0
2016-05-31,1,0
2016-06-01,1,0
2016-06-02,1,0
2016-06-03,1,0
2016-06-06,1,0
2016-06-07,1,0
2016-06-08,1,0
2016-07-28,1,0
2016-09-05,1,1
2016-09-21,1,0
2016-09-26,1,0
2016-09-27,1,0
2016-09-29,1,1
2016-10-24,1,1
2016-12-01,1,0
2017-01-31,1,1
2017-02-02,1,1
2017-02-13,1,0
2017-03-06,1,0
2017-04-28,1,1
2017-05-26,1,0
2017-05-29,1,0
2017-05-31,1,1
2017-06-20,1,1
2017-07-20,1,0
2017-07-31,1,1
2017-08-22,1,1
2017-11-17,1,0
2017-11-20,1,1
2017-11-21,1,1
2018-01-03,1,1
2018-02-21,1,0
2018-02-22,1,0
2018-03-05,1,0
2018-03-15,1,0
2018-05-18,1,1
2018-06-06,1,0
2018-06-18,1,0
2018-07-10,1,0
2018-08-02,1,1
2018-08-14,1,0
2018-08-16,1,1
2018-09-06,1,0
2018-09-24,1,0
2018-09-25,1,1
2019-01-23,1,1
2019-01-24,1,1
2019-04-23,1,1
2019-06-04,1,0
2019-06-05,1,0
2019-06-06,1,1
2019-07-19,1,0
2019-12-24,1,0
2019-12-26,1,1
2020-02-11,1,0
2020-06-16,1,1
2020-07-07,1,1
2020-09-22,1,0
2021-03-02,1,1
2021-03-05,1,0
2021-05-17,1,1
2021-05-21,1,1
2021-07-01,1,0
2021-09-17,1,1
2021-12-31,1,0
2022-03-10,1,1
2022-05-03,1,1
2022-06-10,1,1
2022-10-17,1,1
2022-11-07,1,1
2023-02-21,1,1
2023-07-05,1,1
2023-09-04,1,1
