,Frequency
Crew health,8337
Refrigeration,1571
Biology,1432
General science,1151
Furnace,882
Glovebox,813
Plant,538
Fluids,461
Robotics,335
Centrifuge,315
Microscope,307
External payloads,303
Astronomy,284
Incubator,233
Earth observation,220
inSPA,203
Maintenance,202
Satellite deployer,191
Physics,172
3D printing,154
Image processing,116
Combustion,80
Materials,74
Levitation,59
Life support,50
Communication,44
Environmental,21
Human research,13
Vibration isolation,9
Stowage,8
Manufacture,4
Camera,0
Heating,0
Chemistry,0
